cycle,state,county_fips,county_name,date,days_to_election,ballots_total,ballots_new,mail_returned,inperson,party_dem,party_rep,party_oth,party_npa,source_tier,source_name,retrieved_at
2020,OK,40001,Adair County,2020-11-03,0,1309,,439,870,532,632,8,137,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40003,Alfalfa County,2020-11-03,0,534,,138,396,90,419,1,24,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40005,Atoka County,2020-11-03,0,1583,,280,1303,663,795,4,121,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40007,Beaver County,2020-11-03,0,507,,159,348,73,400,0,34,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40009,Beckham County,2020-11-03,0,2205,,663,1542,537,1460,10,198,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40011,Blaine County,2020-11-03,0,830,,280,550,229,538,3,60,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40013,Bryan County,2020-11-03,0,3565,,1530,2035,1449,1757,17,342,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40015,Caddo County,2020-11-03,0,1547,,684,863,801,621,4,121,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40017,Canadian County,2020-11-03,0,16173,,13305,2868,5350,8594,84,2145,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40019,Carter County,2020-11-03,0,4297,,1820,2477,1750,2129,11,407,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40021,Cherokee County,2020-11-03,0,4795,,2409,2386,2491,1758,23,523,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40023,Choctaw County,2020-11-03,0,1767,,333,1434,709,901,6,151,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40025,Cimarron County,2020-11-03,0,407,,79,328,58,332,1,16,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40027,Cleveland County,2020-11-03,0,47831,,33358,14473,20425,20343,264,6799,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40029,Coal County,2020-11-03,0,801,,119,682,450,304,0,47,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40031,Comanche County,2020-11-03,0,10580,,7288,3292,5149,3997,61,1373,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40033,Cotton County,2020-11-03,0,805,,164,641,245,509,5,46,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40035,Craig County,2020-11-03,0,1381,,428,953,619,654,4,104,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40037,Creek County,2020-11-03,0,6189,,3378,2811,2089,3401,25,674,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40039,Custer County,2020-11-03,0,2567,,1228,1339,863,1487,15,202,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40041,Delaware County,2020-11-03,0,4292,,2083,2209,1358,2455,14,465,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40043,Dewey County,2020-11-03,0,373,,147,226,70,286,0,17,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40045,Ellis County,2020-11-03,0,392,,128,264,71,304,0,17,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40047,Garfield County,2020-11-03,0,5385,,2710,2675,1526,3301,21,537,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40049,Garvin County,2020-11-03,0,2299,,801,1498,794,1329,3,173,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40051,Grady County,2020-11-03,0,5445,,2794,2651,1636,3322,26,461,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40053,Grant County,2020-11-03,0,442,,142,300,89,322,3,28,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40055,Greer County,2020-11-03,0,510,,110,400,248,233,1,28,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40057,Harmon County,2020-11-03,0,286,,45,241,117,148,1,20,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40059,Harper County,2020-11-03,0,302,,80,222,49,241,0,12,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40061,Haskell County,2020-11-03,0,1388,,310,1078,596,731,5,56,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40063,Hughes County,2020-11-03,0,959,,278,681,452,436,6,65,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40065,Jackson County,2020-11-03,0,2163,,756,1407,578,1317,14,254,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40067,Jefferson County,2020-11-03,0,536,,102,434,179,315,2,40,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40069,Johnston County,2020-11-03,0,1011,,199,812,364,553,5,89,1,ok-seb,2026-09-08T13:32:46+00:00
2020,OK,40071,Kay County,2020-11-03,0,3791,,1723,2068,1178,2284,12,317,1,ok-seb,2026-09-08T13:32:46+00:00
